Person_ID,RD_No,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O1397803,JF354633,08/12/2022 08:49:00 PM,1514 N PULASKI RD,MOTORCYCLIST,-87.7266227,41.90857828,POINT (-87.7266227 41.90857828)
P315741,JF399195,09/17/2022 02:00:00 AM,5100 S STATE ST,PASSENGER,-87.62603526,41.8018903,POINT (-87.62603526 41.8018903)
O1162219,JE337822,08/15/2021 01:45:00 AM,1402 E 95TH ST,DRIVER,-87.58981789,41.72238305,POINT (-87.58981789 41.72238305)
O1003180,JD448093,12/02/2020 11:44:00 PM,300 E WACKER SUB DR,DRIVER,-87.62058,41.887861,POINT (-87.62058 41.887861)
O942990,JD340506,08/21/2020 06:00:00 PM,5170 S ARCHER AVE,CYCLIST,-87.73313,41.800313,POINT (-87.73313 41.800313)
O1319042,JF210763,04/17/2022 02:54:00 PM,4500 N HAZEL ST,PEDESTRIAN,-87.65251341,41.96367847,POINT (-87.65251341 41.96367847)
O790107,JC524901,11/26/2019 08:38:00 AM,5 W TERMINAL ST,PEDESTRIAN,-87.88987,41.97517,POINT (-87.88987 41.97517)
O1376675,JF314027,07/11/2022 08:48:00 PM,4900 S DREXEL BLVD,DRIVER,-87.60444034,41.80582656,POINT (-87.60444034 41.80582656)
,XMP2100039581,06/27/2021 04:55:00 PM,"REPORTED BY METRA POLICE, 1431 W 107TH ST",PASSENGER,-87.65831496,41.69944718,POINT (-87.65831496 41.69944718)
O822249,JD115855,01/14/2020 07:52:00 PM,6120 W DEVON AVE,PEDESTRIAN,-87.78104,41.997515,POINT (-87.78104 41.997515)
O1142097,JE305213,07/17/2021 10:30:00 AM,401 E 71ST ST,PEDESTRIAN,-87.61519739,41.7656031,POINT (-87.61519739 41.7656031)
O1261409,JF109971,01/11/2022 08:05:00 PM,2900 W CONGRESS PKWY,PEDESTRIAN - PENDING,-87.69870651,41.87498737,POINT (-87.69870651 41.87498737)
P211164,JD308693,07/24/2020 06:15:00 PM,2150 W 43RD ST,PASSENGER,-87.6786,41.815863,POINT (-87.6786 41.815863)
O869239,JD202254,04/04/2020 09:50:00 PM,4222 W MADISON ST,PEDESTRIAN,-87.73154,41.880766,POINT (-87.73154 41.880766)
O676647,JC317639,06/22/2019 09:20:00 PM,3158 W FULLERTON AVE,DRIVER,-87.70696618,41.92482576,POINT (-87.70696618 41.92482576)
O1393024,JF345733,08/05/2022 06:34:00 PM,7900 S RACINE AVE,PEDESTRIAN,-87.65388333,41.75047493,POINT (-87.65388333 41.75047493)
P157387,JC343008,07/10/2019 04:44:00 PM,400 W 71ST ST,PASSENGER,-87.63473,41.765465,POINT (-87.63473 41.765465)
O1065362,JE179733,03/25/2021 07:36:00 PM,5100 S MICHIGAN AVE,PEDESTRIAN,-87.62279,41.801897,POINT (-87.62279 41.801897)
O660486,JC177251,03/07/2019 07:05:00 PM,5110 S PULASKI RD,PEDESTRIAN,-87.72351,41.800034,POINT (-87.72351 41.800034)
O1047577,JE148664,02/22/2021 11:54:00 AM,7410 S RACINE AVE,PEDESTRIAN,-87.65411,41.759232,POINT (-87.65411 41.759232)
P199485,JD210603,04/16/2020 10:40:00 PM,6900 S STATE ST,PASSENGER,-87.62509,41.769104,POINT (-87.62509 41.769104)
O1204987,JE409110,10/14/2021 05:37:00 AM,1141 S CALIFORNIA AVE,PEDESTRIAN,-87.69577115,41.86707301,POINT (-87.69577115 41.86707301)
P189390,JC485310,10/24/2019 09:03:00 PM,101 N WACKER DR,PASSENGER,-87.63665,41.883234,POINT (-87.63665 41.883234)
O1108590,JE251493,06/02/2021 06:06:00 PM,11100 S HALSTED ST,PEDESTRIAN,-87.64252269,41.69226312,POINT (-87.64252269 41.69226312)
O1195697,JE393516,09/30/2021 11:11:00 PM,9104 S VINCENNES AVE,DRIVER,-87.64816707,41.72852791,POINT (-87.64816707 41.72852791)
O1012038,JD464111,12/19/2020 10:50:00 PM,5620 S CALIFORNIA AVE,CYCLIST,-87.69388,41.791212,POINT (-87.69388 41.791212)
O1092446,JE225211,05/10/2021 02:33:00 AM,1303 W 103RD ST,DRIVER,-87.65519287,41.70668725,POINT (-87.65519287 41.70668725)
P154083,JC318771,06/23/2019 06:05:00 PM,2255 W HARRISON ST,PASSENGER,-87.6835,41.873822,POINT (-87.6835 41.873822)
O703039,JC365915,07/26/2019 06:55:00 PM,4715 S ASHLAND AVE,PEDESTRIAN,-87.664814,41.80811963,POINT (-87.664814 41.80811963)
O929077,JD316129,07/31/2020 10:56:00 AM,458 W 87TH ST,MOTORCYCLIST,-87.63626,41.736287,POINT (-87.63626 41.736287)
O906432,JD276343,06/25/2020 09:00:00 PM,8500 S PULASKI RD,DRIVER,-87.72170401,41.7384684,POINT (-87.72170401 41.7384684)
O914788,JD290987,07/08/2020 10:29:00 PM,11800 S HALSTED ST,DRIVER,-87.64211,41.679598,POINT (-87.64211 41.679598)
O1114493,JE260697,06/10/2021 11:30:00 AM,9139 S COMMERCIAL AVE,PEDESTRIAN,-87.55108091,41.7289095,POINT (-87.55108091 41.7289095)
O1238187,JE463844,12/02/2021 04:50:00 PM,3025 N CALIFORNIA AVE,PEDESTRIAN,-87.69759906,41.93661423,POINT (-87.69759906 41.93661423)
O600653,JC174555,03/05/2019 03:48:00 PM,5059 S WESTERN AVE,PEDESTRIAN,-87.68408,41.80124,POINT (-87.68408 41.80124)
O1160020,JE334439,08/11/2021 10:50:00 PM,9500 S DORCHESTER,DRIVER,-87.59079881,41.72219098,POINT (-87.59079881 41.72219098)
O1346996,JF259507,05/29/2022 12:53:00 AM,1117 W 103RD ST,DRIVER,-87.65081079,41.70673643,POINT (-87.65081079 41.70673643)
O1265986,JF118409,01/20/2022 03:16:00 AM,4055 W PETERSON AVE,DRIVER,-87.73080373,41.98999904,POINT (-87.73080373 41.98999904)
O833782,JD136758,02/01/2020 07:45:00 PM,1401 S LAKE SHORE DRIVE,PEDESTRIAN,-87.61866,41.864153,POINT (-87.61866 41.864153)
